,ltable_id,rtable_id,label
21,591,690,1
37,359,308,1
45,563,723,1
53,749,638,1
55,462,11,1
57,1018,485,1
67,483,793,1
79,581,1083,1
92,970,682,1
96,711,789,1
99,705,733,1
112,329,57,1
117,999,1075,1
130,653,842,1
137,784,810,1
139,863,503,1
152,877,988,1
155,879,1076,1
158,610,721,1
159,957,958,1
168,95,87,1
169,487,544,1
182,616,486,1
222,26,201,1
226,370,475,1
230,1037,849,1
232,40,54,1
248,522,537,1
250,683,893,1
261,54,64,1
265,785,435,1
267,619,863,1
282,848,825,1
298,94,98,1
299,226,446,1
303,721,894,1
312,556,597,1
323,737,889,1
328,503,557,1
337,225,445,1
341,1069,518,1
380,899,946,1
396,198,89,1
441,612,616,1
457,96,88,1
464,299,423,1
493,622,527,1
499,284,121,1
508,201,279,1
541,888,979,1
546,484,609,1
555,770,625,1
574,715,699,1
593,510,592,1
608,445,573,1
637,426,287,1
639,293,147,1
655,620,667,1
658,864,430,1
665,480,792,1
669,308,346,1
712,454,449,1
714,747,727,1
767,220,314,1
790,511,664,1
809,143,245,1
811,257,313,1
821,295,171,1
832,456,510,1
848,427,460,1
875,874,935,1
936,109,99,1
943,499,560,1
973,596,584,1
995,196,117,1
1048,442,580,1
1065,581,675,1
1072,976,975,1
1077,651,884,1
1168,543,758,1
1208,618,719,1
1273,920,1010,1
1297,381,465,1
1369,457,509,1
1395,917,1007,1
1408,559,878,1
1603,837,333,1
1645,671,676,1
1646,270,344,1
1724,528,709,1
1737,27,47,1
1780,890,540,1
1840,853,971,1
1997,636,734,1
2098,468,604,1
2174,1060,661,1
2206,807,790,1
2274,447,412,1
2997,304,917,1
3152,850,826,1
